#sample_accession	run_accession	paired	Tissue	Sub_Tissue	Origin	Age_Days	Source
SRS627516	SRR1335875	y	Spleen	.Spleen.	Adult.Tissue	.	old
SRS627528	SRR1336134	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS627581	SRR1336481	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS627694	SRR1336964	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS627704	SRR1337173	y	Muscle	.Muscle_Skeletal.	Adult.Tissue	.	old
SRS627713	SRR1337364	y	Thyroid	.Thyroid.	Adult.Tissue	.	old
SRS627726	SRR1337648	y	Brain	.Brain_Anterior.cingulate.cortex.(BA24).	Adult.Tissue	.	old
SRS627747	SRR1338031	y	Adipose.Tissue	.Adipose_Subcutaneous.	Adult.Tissue	.	old
SRS627758	SRR1338280	y	Colon	.Colon_Transverse.	Adult.Tissue	.	old
SRS627760	SRR1338323	y	Brain	.Brain_Cerebellar.Hemisphere.	Adult.Tissue	.	old
SRS627763	SRR1338384	y	Salivary.Gland	.Minor.Salivary.Gland.	Adult.Tissue	.	old
SRS627765	SRR1338426	y	Adipose.Tissue	.Adipose_Subcutaneous.	Adult.Tissue	.	old
SRS627774	SRR1338627	y	Brain	.Brain_Amygdala.	Adult.Tissue	.	old
SRS627803	SRR1339236	y	Breast	.Breast_Mammary.Tissue.	Adult.Tissue	.	old
SRS627818	SRR1339530	y	Brain	.Brain_Putamen.(basal.ganglia).	Adult.Tissue	.	old
SRS627823	SRR1339651	y	Brain	.Brain_Cortex.	Adult.Tissue	.	old
SRS627829	SRR1339788	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS627856	SRR1340325	y	Liver	.Liver.	Adult.Tissue	.	old
SRS627875	SRR1340662	y	Kidney	.Kidney_Cortex.	Adult.Tissue	.	old
SRS627877	SRR1340700	y	Brain	.Brain_Nucleus.accumbens.(basal.ganglia).	Adult.Tissue	.	old
SRS627882	SRR1340804	y	Blood	.Cells_EBV-transformed.lymphocytes.	Cell.Line	.	old
SRS627884	SRR1340862	y	Stomach	.Stomach.	Adult.Tissue	.	old
SRS627901	SRR1341057	y	Brain	.Brain_Amygdala.	Adult.Tissue	.	old
SRS627922	SRR1341456	y	Heart	.Heart_Left.Ventricle.	Adult.Tissue	.	old
SRS627930	SRR1341626	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS627935	SRR1341721	y	Colon	.Colon_Transverse.	Adult.Tissue	.	old
SRS627948	SRR1341945	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS627954	SRR1342067	y	Adipose.Tissue	.Adipose_Visceral.(Omentum).	Adult.Tissue	.	old
SRS628353	SRR1343012	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS628401	SRR1343720	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS628409	SRR1343879	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS628417	SRR1344060	y	Spleen	.Spleen.	Adult.Tissue	.	old
SRS628418	SRR1344079	y	Small.Intestine	.Small.Intestine_Terminal.Ileum.	Adult.Tissue	.	old
SRS628419	SRR1344100	y	Thyroid	.Thyroid.	Adult.Tissue	.	old
SRS628425	SRR1344229	y	Esophagus	.Esophagus_Mucosa.	Adult.Tissue	.	old
SRS628429	SRR1344326	y	Blood	.Cells_EBV-transformed.lymphocytes.	Cell.Line	.	old
SRS628435	SRR1344445	y	Liver	.Liver.	Adult.Tissue	.	old
SRS628791	SRR1345436	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS629221	SRR1346734	y	Liver	.Liver.	Adult.Tissue	.	old
SRS629229	SRR1346909	y	Adipose.Tissue	.Adipose_Visceral.(Omentum).	Adult.Tissue	.	old
SRS629270	SRR1347688	y	Brain	.Brain_Hypothalamus.	Adult.Tissue	.	old
SRS629287	SRR1348021	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS629306	SRR1348424	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS629405	SRR1349829	y	Brain	.Brain_Hypothalamus.	Adult.Tissue	.	old
SRS629424	SRR1350239	y	Liver	.Liver.	Adult.Tissue	.	old
SRS629430	SRR1350371	y	Blood	.Cells_EBV-transformed.lymphocytes.	Cell.Line	.	old
SRS629464	SRR1351104	y	Blood.Vessel	.Artery_Aorta.	Adult.Tissue	.	old
SRS629483	SRR1351521	y	Blood.Vessel	.Artery_Coronary.	Adult.Tissue	.	old
SRS629500	SRR1351907	y	Small.Intestine	.Small.Intestine_Terminal.Ileum.	Adult.Tissue	.	old
SRS629512	SRR1352234	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS629513	SRR1352169	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS629554	SRR1353052	y	Esophagus	.Esophagus_Gastroesophageal.Junction.	Adult.Tissue	.	old
SRS629567	SRR1353332	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS629601	SRR1354013	y	Brain	.Brain_Hypothalamus.	Adult.Tissue	.	old
SRS629617	SRR1354363	y	Blood.Vessel	.Artery_Aorta.	Adult.Tissue	.	old
SRS629619	SRR1354400	y	Small.Intestine	.Small.Intestine_Terminal.Ileum.	Adult.Tissue	.	old
SRS629621	SRR1354446	y	Brain	.Brain_Frontal.Cortex.(BA9).	Adult.Tissue	.	old
SRS629632	SRR1354689	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS629719	SRR1355747	y	Esophagus	.Esophagus_Mucosa.	Adult.Tissue	.	old
SRS629760	SRR1356375	y	Brain	.Brain_Cerebellar.Hemisphere.	Adult.Tissue	.	old
SRS629766	SRR1356509	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS629767	SRR1356531	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS629778	SRR1356765	y	Breast	.Breast_Mammary.Tissue.	Adult.Tissue	.	old
SRS629800	SRR1357276	y	Adrenal.Gland	.Adrenal.Gland.	Adult.Tissue	.	old
SRS629822	SRR1357733	y	Esophagus	.Esophagus_Mucosa.	Adult.Tissue	.	old
SRS629834	SRR1358041	y	Skin	.Skin_Sun.Exposed.(Lower.leg).	Adult.Tissue	.	old
SRS629841	SRR1358183	y	Brain	.Brain_Caudate.(basal.ganglia).	Adult.Tissue	.	old
SRS629859	SRR1358561	y	Brain	.Brain_Putamen.(basal.ganglia).	Adult.Tissue	.	old
SRS629865	SRR1358665	y	Esophagus	.Esophagus_Muscularis.	Adult.Tissue	.	old
SRS629883	SRR1359027	y	Small.Intestine	.Small.Intestine_Terminal.Ileum.	Adult.Tissue	.	old
SRS629896	SRR1359304	y	Skin	.Skin_Not.Sun.Exposed.(Suprapubic).	Adult.Tissue	.	old
SRS629937	SRR1360128	y	Brain	.Brain_Frontal.Cortex.(BA9).	Adult.Tissue	.	old
SRS629954	SRR1360478	y	Adipose.Tissue	.Adipose_Visceral.(Omentum).	Adult.Tissue	.	old
SRS629961	SRR1360563	y	Brain	.Brain_Frontal.Cortex.(BA9).	Adult.Tissue	.	old
SRS629970	SRR1360744	y	Brain	.Brain_Substantia.nigra.	Adult.Tissue	.	old
SRS630006	SRR1361415	y	Blood.Vessel	.Artery_Tibial.	Adult.Tissue	.	old
SRS630049	SRR1362081	y	Adipose.Tissue	.Adipose_Visceral.(Omentum).	Adult.Tissue	.	old
SRS630080	SRR1362417	y	Brain	.Brain_Caudate.(basal.ganglia).	Adult.Tissue	.	old
SRS630092	SRR1362643	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS630100	SRR1362777	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS630103	SRR1362824	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS630104	SRR1362848	y	Blood.Vessel	.Artery_Coronary.	Adult.Tissue	.	old
SRS630105	SRR1362888	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS630563	SRR1363810	y	Brain	.Brain_Cerebellar.Hemisphere.	Adult.Tissue	.	old
SRS631250	SRR1365356	y	Thyroid	.Thyroid.	Adult.Tissue	.	old
SRS631255	SRR1365471	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS631256	SRR1365489	y	Lung	.Lung.	Adult.Tissue	.	old
SRS631273	SRR1365655	y	Small.Intestine	.Small.Intestine_Terminal.Ileum.	Adult.Tissue	.	old
SRS631277	SRR1365743	y	Pancreas	.Pancreas.	Adult.Tissue	.	old
SRS631281	SRR1365808	y	Lung	.Lung.	Adult.Tissue	.	old
SRS631293	SRR1366081	y	Skin	.Skin_Not.Sun.Exposed.(Suprapubic).	Adult.Tissue	.	old
SRS631296	SRR1366141	y	Brain	.Brain_Nucleus.accumbens.(basal.ganglia).	Adult.Tissue	.	old
SRS631314	SRR1366390	y	Pituitary	.Pituitary.	Adult.Tissue	.	old
SRS631329	SRR1366729	y	Esophagus	.Esophagus_Gastroesophageal.Junction.	Adult.Tissue	.	old
SRS631427	SRR1368178	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS631483	SRR1369148	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS631486	SRR1369219	y	Brain	.Brain_Spinal.cord.(cervical.c-1).	Adult.Tissue	.	old
SRS631487	SRR1369241	y	Esophagus	.Esophagus_Muscularis.	Adult.Tissue	.	old
SRS631769	SRR1370405	y	Brain	.Brain_Caudate.(basal.ganglia).	Adult.Tissue	.	old
SRS631786	SRR1370780	y	Muscle	.Muscle_Skeletal.	Adult.Tissue	.	old
SRS633738	SRR1374115	y	Brain	.Brain_Putamen.(basal.ganglia).	Adult.Tissue	.	old
SRS633740	SRR1374141	y	Skin	.Skin_Not.Sun.Exposed.(Suprapubic).	Adult.Tissue	.	old
SRS633744	SRR1374246	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS633791	SRR1374355	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS634131	SRR1376380	y	Salivary.Gland	.Minor.Salivary.Gland.	Adult.Tissue	.	old
SRS634141	SRR1376597	y	Brain	.Brain_Nucleus.accumbens.(basal.ganglia).	Adult.Tissue	.	old
SRS634153	SRR1376852	y	Liver	.Liver.	Adult.Tissue	.	old
SRS634305	SRR1377578	y	Kidney	.Kidney_Cortex.	Adult.Tissue	.	old
SRS634307	SRR1377647	y	Skin	.Cells_Transformed.fibroblasts.	Cell.Line	.	old
SRS634352	SRR1377984	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS634360	SRR1378155	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS634545	SRR1378948	y	Breast	.Breast_Mammary.Tissue.	Adult.Tissue	.	old
SRS634570	SRR1379471	y	Thyroid	.Thyroid.	Adult.Tissue	.	old
SRS634783	SRR1380460	y	Breast	.Breast_Mammary.Tissue.	Adult.Tissue	.	old
SRS634793	SRR1380680	y	Brain	.Brain_Hippocampus.	Adult.Tissue	.	old
SRS634798	SRR1380785	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS634805	SRR1380931	y	Kidney	.Kidney_Cortex.	Adult.Tissue	.	old
SRS634857	SRR1381459	y	Nerve	.Nerve_Tibial.	Adult.Tissue	.	old
SRS635161	SRR1382732	y	Brain	.Brain_Cortex.	Adult.Tissue	.	old
SRS635175	SRR1382956	y	Brain	.Brain_Anterior.cingulate.cortex.(BA24).	Adult.Tissue	.	old
SRS635176	SRR1382978	y	Salivary.Gland	.Minor.Salivary.Gland.	Adult.Tissue	.	old
SRS635315	SRR1384234	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS635356	SRR1384754	y	Blood.Vessel	.Artery_Coronary.	Adult.Tissue	.	old
SRS635380	SRR1385036	y	Brain	.Brain_Cerebellum.	Adult.Tissue	.	old
SRS635401	SRR1385235	y	Heart	.Heart_Left.Ventricle.	Adult.Tissue	.	old
SRS635406	SRR1385364	y	Heart	.Heart_Atrial.Appendage.	Adult.Tissue	.	old
SRS636058	SRR1386844	y	Skin	.Skin_Not.Sun.Exposed.(Suprapubic).	Adult.Tissue	.	old
SRS636071	SRR1387113	y	Colon	.Colon_Sigmoid.	Adult.Tissue	.	old
SRS636073	SRR1387155	y	Blood.Vessel	.Artery_Aorta.	Adult.Tissue	.	old
