sample_accession	run_accession	setup
SRS13498103	SRR19761433	paired
SRS13498102	SRR19761434	paired
SRS13498101	SRR19761435	paired
SRS912585	SRR1979194	single
SRS912584	SRR1979195	single
SRS912583	SRR1979196	single
SRS912582	SRR1979197	single
SRS1314609	SRR3194197	single
SRS1314611	SRR3194198	single
SRS1314607	SRR3194199	single
SRS1314608	SRR3194200	single
SRS1597857	SRR3994674	paired
SRS1597858	SRR3994675	paired
SRS1597859	SRR3994676	paired
SRS1597863	SRR3994680	paired
SRS1597864	SRR3994681	paired
SRS1597865	SRR3994682	paired
SRS1597869	SRR3994686	paired
SRS1597870	SRR3994687	paired
SRS1597871	SRR3994688	paired
SRS1597875	SRR3994692	paired
SRS1597876	SRR3994693	paired
SRS1597877	SRR3994694	paired
SRS1700197	SRR4252548	single
SRS1700197	SRR5535471	single
SRS2221040	SRR5591600	paired
SRS2221043	SRR5591603	paired
SRS2221045	SRR5591605	paired
SRS2221047	SRR5591607	paired
SRS2221049	SRR5591609	paired
SRS2221050	SRR5591611	paired
SRS2221053	SRR5591613	paired
SRS4372080	SRR8582344	single
SRS4372081	SRR8582345	single
SRS4372082	SRR8582346	single
SRS4473280	SRR8710393	single
SRS4473282	SRR8710395	single
SRS4599205	SRR8867101	paired
SRS4599207	SRR8867103	paired
SRS4599209	SRR8867105	paired
SRS4599211	SRR8867108	paired
SRS4599213	SRR8867110	paired
SRS4599215	SRR8867112	paired
SRS4599217	SRR8867114	paired
SRS4599219	SRR8867116	paired
SRS4599221	SRR8867118	paired
SRS4599223	SRR8867120	paired
SRS4599225	SRR8867122	paired
SRS4599227	SRR8867124	paired
SRS4599230	SRR8867126	paired
SRS4599231	SRR8867128	paired
SRS4599234	SRR8867130	paired
SRS4599235	SRR8867132	paired
SRS4599236	SRR8867134	paired
SRS4599239	SRR8867136	paired
SRS4599242	SRR8867138	paired
SRS4599243	SRR8867140	paired
SRS4599245	SRR8867142	paired
SRS4599247	SRR8867144	paired
SRS4599249	SRR8867146	paired
SRS4599251	SRR8867148	paired
SRS6309237	SRR11296098	single
SRS6309239	SRR11296099	single
SRS6309238	SRR11296100	single
SRS6309240	SRR11296101	single
SRS6309241	SRR11296102	single
SRS6309242	SRR11296103	single
SRS6517573	SRR11587762	paired
SRS6517574	SRR11587763	paired
SRS6517575	SRR11587764	paired
SRS6517576	SRR11587765	paired
SRS6517577	SRR11587766	paired
SRS6517578	SRR11587767	paired
SRS6517579	SRR11587768	paired
SRS6517580	SRR11587769	paired
SRS6517581	SRR11587770	paired
SRS6517582	SRR11587771	paired
SRS6517583	SRR11587772	paired
SRS6517584	SRR11587773	paired
SRS6517585	SRR11587774	paired
SRS6517586	SRR11587775	paired
SRS6517587	SRR11587776	paired
SRS6517588	SRR11587777	paired
SRS6517589	SRR11587778	paired
SRS6933617	SRR12128894	paired
SRS6933618	SRR12128895	paired
SRS6933619	SRR12128896	paired
SRS6933620	SRR12128897	paired
SRS6933621	SRR12128898	paired
SRS6933622	SRR12128899	paired
SRS6933623	SRR12128900	paired
SRS6933624	SRR12128901	paired
SRS6933625	SRR12128902	paired
SRS7512844	SRR12817261	paired
SRS7512845	SRR12817262	paired
SRS7512846	SRR12817263	paired
SRS7512847	SRR12817264	paired
SRS7512848	SRR12817265	paired
SRS7512849	SRR12817266	paired
SRS7512850	SRR12817267	paired
SRS7512851	SRR12817268	paired
SRS7512852	SRR12817269	paired
SRS7512853	SRR12817270	paired
SRS7512854	SRR12817271	paired
SRS7512855	SRR12817272	paired
SRS7512856	SRR12817273	paired
SRS8900617	SRR14466172	paired
SRS8900618	SRR14466173	paired
SRS10449703	SRR16201939	paired
SRS10449704	SRR16201940	paired
SRS10449705	SRR16201941	paired
SRS10449706	SRR16201942	paired
SRS10449707	SRR16201943	paired
SRS10449708	SRR16201944	paired
SRS10449709	SRR16201945	paired
SRS10449710	SRR16201946	paired
SRS10449711	SRR16201947	paired
SRS10449712	SRR16201948	paired
SRS10449713	SRR16201949	paired
SRS10449714	SRR16201950	paired
SRS14398222	SRR20751579	single
SRS14398221	SRR20751580	single
SRS14398220	SRR20751581	single
SRS14398219	SRR20751582	single
SRS14398218	SRR20751583	single
SRS14398217	SRR20751584	single
SRS14398216	SRR20751585	single
SRS14398215	SRR20751586	single
SRS14398214	SRR20751587	single
SRS14398213	SRR20751588	single
SRS14398212	SRR20751589	single
SRS14398211	SRR20751590	single
SRS14398210	SRR20751591	single
SRS14398209	SRR20751592	single
SRS14398208	SRR20751593	single
SRS14398207	SRR20751594	single
SRS14398206	SRR20751595	single
SRS14398205	SRR20751596	single
SRS14398204	SRR20751597	single
SRS14398203	SRR20751598	single
SRS14398202	SRR20751599	single
SRS14398201	SRR20751600	single
SRS14398200	SRR20751601	single
SRS14398199	SRR20751602	single
SRS14398198	SRR20751603	single
SRS14398197	SRR20751604	single
SRS14398195	SRR20751605	single
SRS14398196	SRR20751606	single
SRS14398194	SRR20751607	single
SRS12410318	SRR18513209	paired
SRS12410318	SRR18513210	paired
SRS12410318	SRR18513211	paired
SRS12410318	SRR18513212	paired
SRS12410318	SRR18513213	paired
SRS12410318	SRR18513214	paired
SRS12410318	SRR18513215	paired
SRS12410318	SRR18513216	paired
SRS12410318	SRR18513217	paired
SRS12410318	SRR18513218	paired
SRS15022690	SRR21465508	paired
SRS15022689	SRR21465509	paired
SRS15022688	SRR21465510	paired
SRS369431	SRR592745	single
SRS369432	SRR592746	single
SRS369433	SRR592747	single
SRS369434	SRR592748	single
SRS369435	SRR592749	single
SRS542573	SRR1142089	single
SRS542574	SRR1142090	single
SRS846898	SRR1806587	single
SRS846897	SRR1806588	single
SRS846896	SRR1806589	single
SRS846899	SRR1806590	single
SRS846895	SRR1806591	single
SRS846893	SRR1806592	single
SRS846894	SRR1806593	single
SRS846892	SRR1806594	single
SRS846891	SRR1806595	single
SRS846889	SRR1806596	single
SRS846890	SRR1806597	single
SRS846888	SRR1806598	single
SRS846887	SRR1806599	single
SRS846886	SRR1806600	single
SRS846885	SRR1806601	single
